geografia_sk,address_id,line1,line2,city,postal_code,country_code,nombre_provincia
804,1800,Calle 6118,,CABA,2431,AR,Buenos Aires
805,1801,Calle 5590,,CABA,8549,AR,Buenos Aires
806,1802,Calle 1999,,Rosario,4268,AR,Santa Fe
807,1803,Calle 1501,,Mar del Plata,4444,AR,Buenos Aires
808,1804,Calle 5250,,Villa Carlos Paz,8799,AR,Córdoba
809,1805,Calle 9920,Piso 12 Dto A,Villa Carlos Paz,5719,AR,Córdoba
810,1806,Calle 104,,Mar del Plata,5313,AR,Buenos Aires
811,1807,Calle 3103,,Rafaela,4083,AR,Santa Fe
812,1808,Calle 2662,Piso 7 Dto C,Rosario,7754,AR,Santa Fe
813,1809,Calle 6989,,Córdoba,9692,AR,Córdoba
814,1810,Calle 4124,,Río Cuarto,2009,AR,Córdoba
815,1811,Calle 990,,Mar del Plata,8306,AR,Buenos Aires
816,1812,Calle 1446,Piso 6 Dto C,San Rafael,2079,AR,Mendoza
817,1813,Calle 7386,Piso 6 Dto C,Villa Carlos Paz,7069,AR,Córdoba
818,1814,Calle 5136,,La Plata,4737,AR,Buenos Aires
819,1815,Calle 6714,Piso 8 Dto B,La Plata,7606,AR,Buenos Aires
820,1816,Calle 7409,Piso 3 Dto A,Santa Fe,7874,AR,Santa Fe
821,1817,Calle 6250,Piso 11 Dto A,Santa Fe,6991,AR,Santa Fe
822,1818,Calle 2831,,Mar del Plata,4555,AR,Buenos Aires
823,1819,Calle 2456,,La Plata,1355,AR,Buenos Aires
824,1820,Calle 9001,,La Plata,8971,AR,Buenos Aires
825,1821,Calle 7985,Piso 11 Dto A,CABA,2736,AR,Buenos Aires
826,1822,Calle 7811,,San Rafael,4852,AR,Mendoza
827,1823,Calle 6822,Piso 8 Dto A,Mendoza,3598,AR,Mendoza
828,1824,Calle 7029,,Río Cuarto,9677,AR,Córdoba
829,1825,Calle 2100,Piso 6 Dto C,La Plata,2034,AR,Buenos Aires
830,1826,Calle 4033,,La Plata,6120,AR,Buenos Aires
831,1827,Calle 5583,,Rafaela,3082,AR,Santa Fe
832,1828,Calle 3751,,Rafaela,5081,AR,Santa Fe
833,1829,Calle 5136,Piso 9 Dto A,Córdoba,3430,AR,Córdoba
834,1830,Calle 7581,Piso 10 Dto C,La Plata,2096,AR,Buenos Aires
835,1831,Calle 4526,Piso 12 Dto A,CABA,1967,AR,Buenos Aires
836,1832,Calle 51,Piso 6 Dto B,Mar del Plata,3394,AR,Buenos Aires
837,1833,Calle 5148,,Godoy Cruz,4083,AR,Mendoza
838,1834,Calle 3194,Piso 9 Dto C,CABA,5066,AR,Buenos Aires
839,1835,Calle 4886,,CABA,5851,AR,Buenos Aires
840,1836,Calle 6905,Piso 2 Dto B,Mar del Plata,3418,AR,Buenos Aires
841,1837,Calle 2572,Piso 10 Dto B,Río Cuarto,2765,AR,Córdoba
842,1838,Calle 9938,,CABA,3105,AR,Buenos Aires
843,1839,Calle 859,Piso 6 Dto C,Mendoza,7042,AR,Mendoza
844,1840,Calle 6145,Piso 9 Dto A,Mar del Plata,6306,AR,Buenos Aires
845,1841,Calle 566,Piso 11 Dto B,Mar del Plata,1645,AR,Buenos Aires
846,1842,Calle 2161,,Mar del Plata,3292,AR,Buenos Aires
847,1843,Calle 3851,Piso 2 Dto B,CABA,6540,AR,Buenos Aires
848,1844,Calle 8069,,CABA,9596,AR,Buenos Aires
849,1845,Calle 2540,,Villa Carlos Paz,8348,AR,Córdoba
850,1846,Calle 3726,,La Plata,1859,AR,Buenos Aires
851,1847,Calle 3589,,CABA,9201,AR,Buenos Aires
852,1848,Calle 6485,Piso 1 Dto C,Mar del Plata,9064,AR,Buenos Aires
853,1849,Calle 6799,,Río Cuarto,4278,AR,Córdoba
854,1850,Calle 8053,,Mar del Plata,7031,AR,Buenos Aires
855,1851,Calle 6508,,Rosario,5610,AR,Santa Fe
856,1852,Calle 6364,Piso 3 Dto A,Río Cuarto,6480,AR,Córdoba
857,1853,Calle 6433,Piso 2 Dto C,La Plata,8399,AR,Buenos Aires
858,1854,Calle 8386,,Mar del Plata,2846,AR,Buenos Aires
859,1855,Calle 3369,Piso 4 Dto C,CABA,4511,AR,Buenos Aires
860,1856,Calle 3766,,CABA,9373,AR,Buenos Aires
861,1857,Calle 2965,Piso 6 Dto A,CABA,7366,AR,Buenos Aires
862,1858,Calle 9861,Piso 3 Dto B,La Plata,5675,AR,Buenos Aires
863,1859,Calle 5,,CABA,1183,AR,Buenos Aires
864,1860,Calle 7292,,Godoy Cruz,2593,AR,Mendoza
865,1861,Calle 3126,Piso 7 Dto C,Mar del Plata,2246,AR,Buenos Aires
866,1862,Calle 4874,Piso 1 Dto A,CABA,3323,AR,Buenos Aires
867,1863,Calle 1972,,CABA,8807,AR,Buenos Aires
868,1864,Calle 3848,Piso 8 Dto C,CABA,5424,AR,Buenos Aires
869,1865,Calle 1037,,Villa Carlos Paz,4530,AR,Córdoba
870,1866,Calle 490,Piso 1 Dto B,La Plata,8630,AR,Buenos Aires
871,1867,Calle 9450,,CABA,5601,AR,Buenos Aires
872,1868,Calle 4380,Piso 1 Dto C,Córdoba,4081,AR,Córdoba
873,1869,Calle 723,Piso 10 Dto B,Córdoba,4793,AR,Córdoba
874,1870,Calle 9799,Piso 6 Dto B,CABA,9922,AR,Buenos Aires
875,1871,Calle 9028,Piso 9 Dto A,La Plata,6681,AR,Buenos Aires
876,1872,Calle 6097,Piso 8 Dto B,La Plata,3418,AR,Buenos Aires
877,1873,Calle 5904,Piso 7 Dto A,Villa Carlos Paz,3255,AR,Córdoba
878,1874,Calle 7645,,San Rafael,1700,AR,Mendoza
879,1875,Calle 2377,,Mar del Plata,3285,AR,Buenos Aires
880,1876,Calle 1340,,Santa Fe,9512,AR,Santa Fe
881,1877,Calle 9019,,Villa Carlos Paz,6486,AR,Córdoba
882,1878,Calle 6117,Piso 9 Dto B,Mar del Plata,4589,AR,Buenos Aires
883,1879,Calle 1744,Piso 4 Dto C,Río Cuarto,3551,AR,Córdoba
884,1880,Calle 1767,,Río Cuarto,6022,AR,Córdoba
885,1881,Calle 3429,,Santa Fe,4129,AR,Santa Fe
886,1882,Calle 1984,,La Plata,2098,AR,Buenos Aires
887,1883,Calle 6913,Piso 6 Dto C,CABA,1173,AR,Buenos Aires
888,1884,Calle 3416,Piso 5 Dto B,La Plata,1686,AR,Buenos Aires
889,1885,Calle 5237,Piso 6 Dto A,Godoy Cruz,8759,AR,Mendoza
890,1886,Calle 6926,Piso 12 Dto C,Rosario,9033,AR,Santa Fe
891,1887,Calle 1423,,La Plata,2359,AR,Buenos Aires
892,1888,Calle 1541,Piso 8 Dto B,Río Cuarto,4954,AR,Córdoba
893,1889,Calle 9055,,La Plata,7727,AR,Buenos Aires
894,1890,Calle 9723,Piso 11 Dto A,CABA,2132,AR,Buenos Aires
895,1891,Calle 9258,,La Plata,5148,AR,Buenos Aires
896,1892,Calle 2850,,Villa Carlos Paz,1652,AR,Córdoba
897,1893,Calle 1797,,Villa Carlos Paz,4262,AR,Córdoba
898,1894,Calle 6346,,CABA,7172,AR,Buenos Aires
899,1895,Calle 5572,Piso 11 Dto C,CABA,4747,AR,Buenos Aires
900,1896,Calle 1664,,Rosario,1387,AR,Santa Fe
901,1897,Calle 7045,Piso 1 Dto C,Mar del Plata,9904,AR,Buenos Aires
902,1898,Calle 4570,Piso 7 Dto C,CABA,2096,AR,Buenos Aires
903,1899,Calle 5860,,Mar del Plata,3253,AR,Buenos Aires
904,1900,Calle 9346,,CABA,8308,AR,Buenos Aires
905,1901,Calle 7830,,La Plata,7770,AR,Buenos Aires
906,1902,Calle 3317,,Córdoba,7401,AR,Córdoba
907,1903,Calle 200,Piso 2 Dto C,Mar del Plata,9692,AR,Buenos Aires
908,1904,Calle 5236,,CABA,4091,AR,Buenos Aires
909,1905,Calle 1623,,CABA,3393,AR,Buenos Aires
910,1906,Calle 1115,,Rosario,3698,AR,Santa Fe
911,1907,Calle 5927,Piso 4 Dto B,Villa Carlos Paz,1977,AR,Córdoba
912,1908,Calle 6466,Piso 1 Dto A,La Plata,7402,AR,Buenos Aires
913,1909,Calle 2087,Piso 8 Dto C,Córdoba,3576,AR,Córdoba
914,1910,Calle 8146,,Villa Carlos Paz,7837,AR,Córdoba
915,1911,Calle 2385,Piso 11 Dto A,Río Cuarto,5544,AR,Córdoba
916,1912,Calle 5595,Piso 5 Dto C,Mar del Plata,6048,AR,Buenos Aires
917,1913,Calle 9660,,La Plata,8689,AR,Buenos Aires
918,1914,Calle 5611,,La Plata,5122,AR,Buenos Aires
919,1915,Calle 9740,Piso 9 Dto A,Godoy Cruz,6311,AR,Mendoza
920,1916,Calle 5020,Piso 4 Dto B,Villa Carlos Paz,5563,AR,Córdoba
921,1917,Calle 3086,Piso 10 Dto A,Río Cuarto,4112,AR,Córdoba
922,1918,Calle 5262,,Río Cuarto,2920,AR,Córdoba
923,1919,Calle 9800,,Córdoba,9142,AR,Córdoba
924,1920,Calle 4436,Piso 10 Dto B,La Plata,3397,AR,Buenos Aires
925,1921,Calle 2039,Piso 7 Dto C,Villa Carlos Paz,1053,AR,Córdoba
926,1922,Calle 8111,Piso 8 Dto C,La Plata,9374,AR,Buenos Aires
927,1923,Calle 7008,,CABA,8804,AR,Buenos Aires
928,1924,Calle 2290,Piso 3 Dto A,CABA,1892,AR,Buenos Aires
929,1925,Calle 1761,Piso 9 Dto C,Santa Fe,3087,AR,Santa Fe
930,1926,Calle 6935,,San Rafael,1161,AR,Mendoza
931,1927,Calle 4542,,Mar del Plata,4776,AR,Buenos Aires
932,1928,Calle 4371,,Río Cuarto,3485,AR,Córdoba
933,1929,Calle 3603,,Villa Carlos Paz,9875,AR,Córdoba
934,1930,Calle 9360,Piso 12 Dto C,Mendoza,8966,AR,Mendoza
935,1931,Calle 3621,,La Plata,3843,AR,Buenos Aires
936,1932,Calle 3913,Piso 11 Dto B,CABA,7335,AR,Buenos Aires
937,1933,Calle 1344,Piso 7 Dto C,CABA,8250,AR,Buenos Aires
938,1934,Calle 6229,Piso 1 Dto C,Villa Carlos Paz,4360,AR,Córdoba
939,1935,Calle 5609,Piso 6 Dto A,Mar del Plata,9315,AR,Buenos Aires
940,1936,Calle 3367,,Rafaela,7187,AR,Santa Fe
941,1937,Calle 3571,Piso 6 Dto B,Rosario,5491,AR,Santa Fe
942,1938,Calle 6217,,Córdoba,4998,AR,Córdoba
943,1939,Calle 6372,Piso 10 Dto B,CABA,7241,AR,Buenos Aires
944,1940,Calle 7297,Piso 7 Dto A,Mar del Plata,5176,AR,Buenos Aires
945,1941,Calle 4258,,La Plata,4590,AR,Buenos Aires
946,1942,Calle 595,,Córdoba,4745,AR,Córdoba
947,1943,Calle 1514,,Córdoba,5102,AR,Córdoba
948,1944,Calle 7424,,La Plata,8141,AR,Buenos Aires
949,1945,Calle 3754,,Rosario,9528,AR,Santa Fe
950,1946,Calle 855,,CABA,5722,AR,Buenos Aires
951,1947,Calle 2752,,La Plata,2262,AR,Buenos Aires
952,1948,Calle 2929,Piso 9 Dto A,Santa Fe,7044,AR,Santa Fe
953,1949,Calle 4025,,CABA,5461,AR,Buenos Aires
954,1950,Calle 8266,,Rafaela,3736,AR,Santa Fe
955,1951,Calle 3964,Piso 10 Dto B,CABA,8576,AR,Buenos Aires
956,1952,Calle 1801,,Mar del Plata,1692,AR,Buenos Aires
957,1953,Calle 10,Piso 5 Dto B,Mendoza,7471,AR,Mendoza
958,1954,Calle 8603,Piso 8 Dto C,La Plata,7638,AR,Buenos Aires
959,1955,Calle 2735,,La Plata,1596,AR,Buenos Aires
960,1956,Calle 4890,Piso 2 Dto C,La Plata,7268,AR,Buenos Aires
961,1957,Calle 5154,,CABA,4531,AR,Buenos Aires
962,1958,Calle 7372,,Rosario,5947,AR,Santa Fe
963,1959,Calle 3721,Piso 8 Dto B,CABA,7541,AR,Buenos Aires
964,1960,Calle 3354,Piso 8 Dto A,Villa Carlos Paz,1841,AR,Córdoba
965,1961,Calle 1660,,San Rafael,6743,AR,Mendoza
966,1962,Calle 7101,Piso 2 Dto C,San Rafael,6812,AR,Mendoza
967,1963,Calle 7856,Piso 2 Dto B,Córdoba,4169,AR,Córdoba
968,1964,Calle 182,Piso 2 Dto A,Mendoza,1981,AR,Mendoza
969,1965,Calle 8538,Piso 6 Dto A,Mar del Plata,7609,AR,Buenos Aires
970,1966,Calle 5685,Piso 10 Dto B,Santa Fe,7028,AR,Santa Fe
971,1967,Calle 2021,Piso 8 Dto B,Rafaela,9420,AR,Santa Fe
972,1968,Calle 9280,,Río Cuarto,7191,AR,Córdoba
973,1969,Calle 4377,,Villa Carlos Paz,2526,AR,Córdoba
974,1970,Calle 687,,CABA,3178,AR,Buenos Aires
975,1971,Calle 6842,Piso 3 Dto B,CABA,4450,AR,Buenos Aires
976,1972,Calle 614,Piso 5 Dto C,Mendoza,2082,AR,Mendoza
977,1973,Calle 8086,Piso 2 Dto A,CABA,6615,AR,Buenos Aires
978,1974,Calle 9455,Piso 9 Dto C,Santa Fe,6349,AR,Santa Fe
979,1975,Calle 9663,Piso 9 Dto C,Mar del Plata,5018,AR,Buenos Aires
980,1976,Calle 7920,Piso 5 Dto B,Santa Fe,9173,AR,Santa Fe
981,1977,Calle 4921,,Mar del Plata,4663,AR,Buenos Aires
982,1978,Calle 7608,Piso 3 Dto A,Rosario,7760,AR,Santa Fe
983,1979,Calle 4901,,La Plata,8883,AR,Buenos Aires
984,1980,Calle 7138,,Rosario,7786,AR,Santa Fe
985,1981,Calle 6069,,Godoy Cruz,8971,AR,Mendoza
986,1982,Calle 9641,Piso 4 Dto B,Godoy Cruz,4852,AR,Mendoza
987,1983,Calle 5507,Piso 3 Dto C,CABA,7174,AR,Buenos Aires
988,1984,Calle 140,Piso 3 Dto C,CABA,9071,AR,Buenos Aires
989,1985,Calle 2489,Piso 1 Dto A,San Rafael,3909,AR,Mendoza
990,1986,Calle 5854,,La Plata,1662,AR,Buenos Aires
991,1987,Calle 1638,,Santa Fe,1647,AR,Santa Fe
992,1988,Calle 2785,,Rosario,5379,AR,Santa Fe
993,1989,Calle 1175,,Río Cuarto,2064,AR,Córdoba
994,1990,Calle 2579,,Villa Carlos Paz,9133,AR,Córdoba
995,1991,Calle 6446,,Córdoba,8744,AR,Córdoba
996,1992,Calle 5021,Piso 5 Dto C,Mar del Plata,7848,AR,Buenos Aires
997,1993,Calle 5352,Piso 4 Dto A,Santa Fe,3436,AR,Santa Fe
998,1994,Calle 9629,,CABA,8355,AR,Buenos Aires
999,1995,Calle 4629,Piso 6 Dto C,CABA,4919,AR,Buenos Aires
1000,1996,Calle 9046,Piso 12 Dto C,CABA,4436,AR,Buenos Aires
1001,1997,Calle 2565,Piso 7 Dto A,Villa Carlos Paz,2082,AR,Córdoba
1002,1998,Calle 6383,Piso 3 Dto B,La Plata,7512,AR,Buenos Aires
1003,1999,Calle 6920,,La Plata,1121,AR,Buenos Aires
1004,2000,Calle 1528,,Godoy Cruz,1688,AR,Mendoza
1005,2001,Calle 8116,,Mar del Plata,7846,AR,Buenos Aires
1006,2002,Calle 5911,Piso 12 Dto B,Rafaela,6524,AR,Santa Fe
1007,2003,Calle 3305,Piso 4 Dto A,Mar del Plata,9273,AR,Buenos Aires
1008,2004,Calle 9675,,Mar del Plata,8126,AR,Buenos Aires
1009,2005,Calle 9683,Piso 9 Dto B,Mar del Plata,1729,AR,Buenos Aires
1010,2006,Calle 9656,Piso 11 Dto A,La Plata,7836,AR,Buenos Aires
1011,2007,Calle 9370,,San Rafael,8360,AR,Mendoza
1012,2008,Calle 635,Piso 4 Dto C,Mar del Plata,7468,AR,Buenos Aires
1013,2009,Calle 665,,CABA,7504,AR,Buenos Aires
1014,2010,Calle 4484,Piso 9 Dto C,CABA,1267,AR,Buenos Aires
1015,2011,Calle 5017,,Rafaela,9136,AR,Santa Fe
1016,2012,Calle 4712,Piso 2 Dto A,Mar del Plata,6383,AR,Buenos Aires
1017,2013,Calle 233,,CABA,6386,AR,Buenos Aires
1018,2014,Calle 1630,Piso 3 Dto C,Mendoza,3769,AR,Mendoza
1019,2015,Calle 2652,,Villa Carlos Paz,6921,AR,Córdoba
1020,2016,Calle 5071,,Santa Fe,2248,AR,Santa Fe
1021,2017,Calle 3925,,Rosario,2857,AR,Santa Fe
1022,2018,Calle 8759,,Mar del Plata,8884,AR,Buenos Aires
1023,2019,Calle 1508,Piso 6 Dto A,Santa Fe,4101,AR,Santa Fe
1024,2020,Calle 299,,San Rafael,3658,AR,Mendoza
1025,2021,Calle 8763,Piso 4 Dto B,Mar del Plata,1488,AR,Buenos Aires
1026,2022,Calle 1697,,Santa Fe,3744,AR,Santa Fe
1027,2023,Calle 9607,,Villa Carlos Paz,4715,AR,Córdoba
1028,2024,Calle 6346,Piso 6 Dto C,Villa Carlos Paz,4262,AR,Córdoba
1029,2025,Calle 61,,CABA,7103,AR,Buenos Aires
1030,2026,Calle 5164,,CABA,2572,AR,Buenos Aires
1031,2027,Calle 9714,Piso 3 Dto B,Córdoba,6582,AR,Córdoba
1032,2028,Calle 5195,Piso 4 Dto B,Córdoba,5807,AR,Córdoba
1033,2029,Calle 4919,Piso 11 Dto A,Rosario,7219,AR,Santa Fe
1034,2030,Calle 1219,,La Plata,9163,AR,Buenos Aires
1035,2031,Calle 373,Piso 1 Dto B,Villa Carlos Paz,4027,AR,Córdoba
1036,2032,Calle 9879,Piso 10 Dto A,Rafaela,2857,AR,Santa Fe
1037,2033,Calle 5216,,Godoy Cruz,2291,AR,Mendoza
1038,2034,Calle 9015,Piso 9 Dto A,La Plata,5874,AR,Buenos Aires
1039,2035,Calle 5111,Piso 7 Dto A,Rosario,5408,AR,Santa Fe
1040,2036,Calle 9639,Piso 1 Dto A,CABA,1696,AR,Buenos Aires
1041,2037,Calle 8880,,Santa Fe,5056,AR,Santa Fe
1042,2038,Calle 9323,,CABA,8705,AR,Buenos Aires
1043,2039,Calle 2775,,Córdoba,7683,AR,Córdoba
1044,2040,Calle 9449,Piso 12 Dto A,Villa Carlos Paz,9971,AR,Córdoba
1045,2041,Calle 6365,Piso 4 Dto C,CABA,6640,AR,Buenos Aires
1046,2042,Calle 6743,Piso 10 Dto B,Mar del Plata,5080,AR,Buenos Aires
1047,2043,Calle 9917,,Villa Carlos Paz,7644,AR,Córdoba
1048,2044,Calle 2101,,Río Cuarto,5076,AR,Córdoba
1049,2045,Calle 4096,,Córdoba,7467,AR,Córdoba
1050,2046,Calle 1846,,Godoy Cruz,2814,AR,Mendoza
1051,2047,Calle 3381,,La Plata,3019,AR,Buenos Aires
1052,2048,Calle 6206,Piso 11 Dto C,La Plata,8264,AR,Buenos Aires
1053,2049,Calle 3388,,Rosario,4977,AR,Santa Fe
1054,2050,Calle 7168,,La Plata,8099,AR,Buenos Aires
1055,2051,Calle 7517,,CABA,7773,AR,Buenos Aires
1056,2052,Calle 4644,Piso 5 Dto A,Rosario,1225,AR,Santa Fe
1057,2053,Calle 1070,Piso 10 Dto B,Rafaela,5967,AR,Santa Fe
1058,2054,Calle 4516,Piso 8 Dto B,Mar del Plata,3628,AR,Buenos Aires
1059,2055,Calle 281,Piso 4 Dto C,CABA,7300,AR,Buenos Aires
1060,2056,Calle 8351,,San Rafael,5385,AR,Mendoza
1061,2057,Calle 1620,Piso 5 Dto C,Mar del Plata,7614,AR,Buenos Aires
1062,2058,Calle 3953,,CABA,9682,AR,Buenos Aires
1063,2059,Calle 56,Piso 3 Dto A,Río Cuarto,7876,AR,Córdoba
1064,2060,Calle 3070,Piso 2 Dto C,CABA,7960,AR,Buenos Aires
1065,2061,Calle 9605,Piso 4 Dto C,Villa Carlos Paz,6847,AR,Córdoba
1066,2062,Calle 3216,,Mar del Plata,6507,AR,Buenos Aires
1067,2063,Calle 8725,,CABA,8058,AR,Buenos Aires
1068,2064,Calle 1691,,CABA,7729,AR,Buenos Aires
1069,2065,Calle 8766,,La Plata,9987,AR,Buenos Aires
1070,2066,Calle 3515,,Córdoba,1599,AR,Córdoba
1071,2067,Calle 6704,Piso 2 Dto B,Mar del Plata,4425,AR,Buenos Aires
1072,2068,Calle 1947,,CABA,1723,AR,Buenos Aires
1073,2069,Calle 2737,,Río Cuarto,9020,AR,Córdoba
1074,2070,Calle 1640,,Santa Fe,5549,AR,Santa Fe
1075,2071,Calle 5848,,La Plata,1440,AR,Buenos Aires
1076,2072,Calle 350,,San Rafael,3819,AR,Mendoza
1077,2073,Calle 2940,,CABA,3172,AR,Buenos Aires
1078,2074,Calle 7365,,Mar del Plata,1515,AR,Buenos Aires
1079,2075,Calle 3346,Piso 6 Dto C,Río Cuarto,8074,AR,Córdoba
1080,2076,Calle 7762,,Córdoba,7136,AR,Córdoba
1081,2077,Calle 6888,,Mar del Plata,4469,AR,Buenos Aires
1082,2078,Calle 7121,,CABA,5360,AR,Buenos Aires
1083,2079,Calle 8698,Piso 10 Dto C,Río Cuarto,8422,AR,Córdoba
1084,2080,Calle 8731,,Rafaela,8357,AR,Santa Fe
1085,2081,Calle 4575,,La Plata,1328,AR,Buenos Aires
1086,2082,Calle 8773,,La Plata,3077,AR,Buenos Aires
1087,2083,Calle 8742,Piso 2 Dto C,Mar del Plata,7465,AR,Buenos Aires
1088,2084,Calle 8832,,CABA,1831,AR,Buenos Aires
1089,2085,Calle 1216,,Rafaela,6556,AR,Santa Fe
1090,2086,Calle 4279,,La Plata,3921,AR,Buenos Aires
1091,2087,Calle 2290,,CABA,9486,AR,Buenos Aires
1092,2088,Calle 6917,,Córdoba,6273,AR,Córdoba
1093,2089,Calle 5533,,La Plata,1447,AR,Buenos Aires
1094,2090,Calle 498,,Rafaela,2328,AR,Santa Fe
1095,2091,Calle 1610,Piso 8 Dto C,Villa Carlos Paz,1937,AR,Córdoba
1096,2092,Calle 5126,,Villa Carlos Paz,9257,AR,Córdoba
1097,2093,Calle 2610,,Santa Fe,9847,AR,Santa Fe
1098,2094,Calle 1256,Piso 3 Dto A,Mar del Plata,9215,AR,Buenos Aires
1099,2095,Calle 662,Piso 9 Dto B,La Plata,1430,AR,Buenos Aires
1100,2096,Calle 4281,Piso 4 Dto B,Córdoba,6594,AR,Córdoba
1101,2097,Calle 4507,Piso 9 Dto A,Mar del Plata,7188,AR,Buenos Aires
1102,2098,Calle 2446,,La Plata,6269,AR,Buenos Aires
1103,2099,Calle 5082,Piso 3 Dto C,Villa Carlos Paz,1686,AR,Córdoba
1104,2100,Calle 7697,,Río Cuarto,4938,AR,Córdoba
1105,2101,Calle 9147,Piso 8 Dto C,Río Cuarto,1278,AR,Córdoba
1106,2102,Calle 995,,CABA,7417,AR,Buenos Aires
1107,2103,Calle 9107,,Rosario,5286,AR,Santa Fe
1108,2104,Calle 2908,Piso 9 Dto B,San Rafael,5079,AR,Mendoza
1109,2105,Calle 3076,,Mar del Plata,7548,AR,Buenos Aires
1110,2106,Calle 1074,Piso 3 Dto C,Mar del Plata,5835,AR,Buenos Aires
1111,2107,Calle 5039,,Mar del Plata,1339,AR,Buenos Aires
1112,2108,Calle 2139,Piso 6 Dto C,Rafaela,4504,AR,Santa Fe
1113,2109,Calle 1347,Piso 8 Dto A,La Plata,5777,AR,Buenos Aires
1114,2110,Calle 4762,Piso 1 Dto A,La Plata,4753,AR,Buenos Aires
1115,2111,Calle 3064,,Mar del Plata,2386,AR,Buenos Aires
1116,2112,Calle 4585,,La Plata,4700,AR,Buenos Aires
1117,2113,Calle 8208,Piso 9 Dto A,Mar del Plata,6432,AR,Buenos Aires
1118,2114,Calle 1009,Piso 11 Dto C,Mar del Plata,1615,AR,Buenos Aires
1119,2115,Calle 4774,,Córdoba,4423,AR,Córdoba
1120,2116,Calle 4223,,Mar del Plata,7467,AR,Buenos Aires
1121,2117,Calle 1476,Piso 2 Dto C,Rosario,9621,AR,Santa Fe
1122,2118,Calle 8920,,Córdoba,4950,AR,Córdoba
1123,2119,Calle 8071,Piso 4 Dto A,Córdoba,6292,AR,Córdoba
1124,2120,Calle 570,,La Plata,9272,AR,Buenos Aires
1125,2121,Calle 6379,Piso 2 Dto B,Santa Fe,9592,AR,Santa Fe
1126,2122,Calle 3420,,CABA,6481,AR,Buenos Aires
1127,2123,Calle 9785,,CABA,7181,AR,Buenos Aires
1128,2124,Calle 8149,Piso 5 Dto C,Mar del Plata,2961,AR,Buenos Aires
1129,2125,Calle 3502,Piso 7 Dto B,San Rafael,3194,AR,Mendoza
1130,2126,Calle 1162,Piso 2 Dto C,Mar del Plata,2783,AR,Buenos Aires
1131,2127,Calle 6505,Piso 9 Dto B,CABA,1432,AR,Buenos Aires
1132,2128,Calle 3191,,Santa Fe,4532,AR,Santa Fe
1133,2129,Calle 7394,Piso 5 Dto B,CABA,7852,AR,Buenos Aires
1134,2130,Calle 4817,Piso 3 Dto C,CABA,1702,AR,Buenos Aires
1135,2131,Calle 3894,Piso 8 Dto B,Villa Carlos Paz,8133,AR,Córdoba
1136,2132,Calle 1909,Piso 12 Dto A,CABA,1294,AR,Buenos Aires
1137,2133,Calle 8524,Piso 4 Dto B,Mendoza,7518,AR,Mendoza
1138,2134,Calle 6329,Piso 3 Dto C,Rosario,2190,AR,Santa Fe
1139,2135,Calle 1638,Piso 3 Dto A,Mendoza,6579,AR,Mendoza
1140,2136,Calle 8341,Piso 9 Dto A,La Plata,2782,AR,Buenos Aires
1141,2137,Calle 6955,,Villa Carlos Paz,4454,AR,Córdoba
1142,2138,Calle 661,Piso 2 Dto A,Santa Fe,1081,AR,Santa Fe
1143,2139,Calle 5614,Piso 5 Dto A,Mendoza,9660,AR,Mendoza
1144,2140,Calle 3830,,CABA,1874,AR,Buenos Aires
1145,2141,Calle 296,Piso 10 Dto A,Villa Carlos Paz,2062,AR,Córdoba
1146,2142,Calle 259,Piso 12 Dto B,CABA,3713,AR,Buenos Aires
1147,2143,Calle 9385,Piso 10 Dto C,Rafaela,7158,AR,Santa Fe
1148,2144,Calle 9907,Piso 10 Dto C,Rafaela,2468,AR,Santa Fe
1149,2145,Calle 6000,,Mar del Plata,3407,AR,Buenos Aires
1150,2146,Calle 349,,Villa Carlos Paz,3869,AR,Córdoba
1151,2147,Calle 4824,Piso 3 Dto B,CABA,1897,AR,Buenos Aires
1152,2148,Calle 9141,Piso 8 Dto A,Córdoba,2928,AR,Córdoba
1153,2149,Calle 7242,,Rosario,6070,AR,Santa Fe
1154,2150,Calle 3738,,San Rafael,6337,AR,Mendoza
1155,2151,Calle 2270,,Río Cuarto,5664,AR,Córdoba
1156,2152,Calle 1931,Piso 3 Dto C,Santa Fe,6592,AR,Santa Fe
1157,2153,Calle 6656,,CABA,8113,AR,Buenos Aires
1158,2154,Calle 6266,Piso 10 Dto B,Mar del Plata,7667,AR,Buenos Aires
1159,2155,Calle 245,Piso 9 Dto B,Mendoza,2609,AR,Mendoza
1160,2156,Calle 5140,,Rafaela,5127,AR,Santa Fe
1161,2157,Calle 8872,Piso 3 Dto A,Santa Fe,9339,AR,Santa Fe
1162,2158,Calle 483,,Córdoba,1016,AR,Córdoba
1163,2159,Calle 7115,Piso 10 Dto B,Río Cuarto,2025,AR,Córdoba
1164,2160,Calle 8256,,La Plata,4167,AR,Buenos Aires
1165,2161,Calle 786,,Rosario,5575,AR,Santa Fe
1166,2162,Calle 1199,,Mar del Plata,8424,AR,Buenos Aires
1167,2163,Calle 8550,Piso 4 Dto C,Rafaela,7736,AR,Santa Fe
1168,2164,Calle 3613,Piso 11 Dto B,La Plata,1275,AR,Buenos Aires
1169,2165,Calle 4613,,Mar del Plata,8356,AR,Buenos Aires
1170,2166,Calle 2131,Piso 10 Dto A,Villa Carlos Paz,1318,AR,Córdoba
1171,2167,Calle 8063,Piso 12 Dto C,Rafaela,7299,AR,Santa Fe
